U$2, 2.54, 2.54, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$3, 86.36, 2.54, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$4, 2.54, 96.52, 0.00, FIDUCIAL, FIDUCIAL_1MM
U1, 67.31, 50.80, 0.00, ATMEGA328PB-AU, QFP80P900X900X120-32N
X1, 88.90, 91.44, 180.00, MINI-USB-SCHIELD-32005-201, 32005-201
